Item ID,source,Notes,Location,Value,Inventory Date,Selected File Placeholder,Artist Name,Title,Series,Type,Date_Year,Medium,Signatures_and_Writing,Condition,Category,Size H in,Size W in,Size D in,Size Note,Size Units,Dimensions,Selected File Container,File 1 Container,File 2 Container,File 3 Container,File 4 Container,File 5 Container,Owner ID,Exhibited Data::Unique Combo,Exhibited Data::Exhibition ID MATCH FIELD,Exhibitions::Exhibition Name,Owners::Name,Duration,Filming Location
AT.P.0007,Aldo foundation,,Rack 2,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo T 88""",,Painting,32,39.625,,,in,,,,,,,,,,,,,,
AT.P.0008,Aldo foundation,,Rack 2,,05/09/2013,No Picture Selected,Aldo Tambellini,A-430, Black Energy Suspended Series,,,"acrylic, wax, graphite on architectural paper","Recto: LR ""Aldo Tambellini '89"" ",,Painting,29.875,42,,,in,,,,,,,,,,,,,,
AT.P.0009,Aldo foundation,,Rack 3,,05/09/2013,No Picture Selected,Aldo Tambellini,L-1, Black Energy Suspended Series,,,acrylic and graphite on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",Frame chipped,Painting,29.875,42,,,in,,,,,,,,,,,,,,
AT.P.0010,Aldo foundation,,Rack 3,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini '88""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0013,Aldo foundation,,Rack 4,,05/09/2013,No Picture Selected,Aldo Tambellini,Black 4, Black Is Series,,,graphite and wax on cardboard,,,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0014,Aldo foundation,,Rack 4,,05/09/2013,No Picture Selected,Aldo Tambellini,GA-500, Black Energy Suspended Series,,,acrylic on architectural paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,in,,,,,,,,,,,,,,
AT.P.0019,Aldo foundation,,Rack 5,,05/09/2013,No Picture Selected,Aldo Tambellini,AD-00, Black Energy Suspended Series,,,acrylic and graphite on architectural paper/ polaroid stapled to paper,"Recto: LR ""Aldo Tambellini '89"" ",,Painting,30,42,,,in,,,,,,,,,,,,,,
AT.P.0020,Aldo foundation,,Rack 5,,05/09/2013,No Picture Selected,Aldo Tambellini,?(3), Destruction,,,graphite and wax on cardboard,"Recto: LR ""Aldo Tambellini 88""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0023,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,51.25,,,in,,,,,,,,,,,,,,
AT.P.0024,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Eclipse 2,,,,"duco, aryclic, and graphite on paper","LR: ""Aldo Tambellini 64""",,Painting,30.125,75.375,,,in,,,,,,,,,,,,,,
AT.P.0026,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Black Energy 3, Black Energy Burns with Fire,,,Duco and acrylic on cardboard,"LR: ""Aldo Tambellini '62""",,Painting,30.125,40,,,in,,,,,,,,,,,,,,
AT.P.0027,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,?,Duco and acrylic on masonite,"Verso: ""A. Tambelllini top""",,Painting,45,35.375,,,in,,,,,,,,,,,,,,
AT.P.0028,Aldo foundation,,Rack 6,,05/09/2013,No Picture Selected,Aldo Tambellini,Untitled,,,,Duco and acrylic on masonite,"LC: ""A.Tambellini""",,Painting,45,35.375,,,in,,,,,,,,,,,,,,
AT.P.0030,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II ,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 88""",,Painting,20,30,,,in,,,,,,,,,,,,,,
AT.P.0031,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,Destruction, Destruction II Series,,,graphite and wax on cardboard,"LR: ""Aldo Tambellini 89""",,Painting,31.75,39.75,,,in,,,,,,,,,,,,,,
AT.P.0035,Aldo foundation,,Rack 7,,05/09/2013,No Picture Selected,Aldo Tambellini,B ? , Suspended,,,acrylic and graphite on architectural paper,"LR: ""Aldo Tambellini '89""",Frame damage,Painting,29.75,41.75,,,in,,,,,,,,,,,,,,
AT.P.0037,Aldo foundation,,Rack 7,,05/09/2013,AT.P.37.jpg,Aldo Tambellini,BS-1, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,25.75,,,,in,,AT.P.37.jpg,"remote:AT.P.37.jpg
size:1632,1224
JPEG:AT.P.37_8.jpg",,,,,,,,,,,
AT.P.0039,Aldo foundation,,Rack 7,,05/09/2013,AT.P.39.jpg,Aldo Tambellini,Silent Series I,Silent Series,,,Duco and graphite on paper,"Verso: UL: ""June 1964"" UC: Silence I Top"" / UR: ""Top Aldo Tambellini 414 West Broadway, NYC"" LR: ""Aldo Tambellini There is a need for more people like you""",,Painting,28.75,32.125,,,in,,AT.P.39.jpg,"remote:AT.P.39.jpg
size:1632,1224
JPEG:AT.P.39_8.jpg",,,,,,,,,,,
AT.P.0040,Aldo foundation,,Rack 7,,05/09/2013,AT.P.40.jpg,Aldo Tambellini,Silent Series II,Silent Series,,ca. 1964,Duco on paper on Masonite,"Verso: UC: ""Aldo Tambellini / 1009 - 1010""",,Painting,28.75,32,,,in,,AT.P.40.jpg,"remote:AT.P.40.jpg
size:1632,1224
JPEG:AT.P.40_8.jpg",,,,,,,,,,,
AT.P.0041,Aldo foundation,,Rack 7,,05/09/2013,AT.P.41.jpg,Aldo Tambellini,Silent Series III,Silent Series,,ca. 1964,Duco on paper on Masonite,,,Painting,28.75,32,,,in,,AT.P.41.jpg,"remote:AT.P.41.jpg
size:1632,1224
JPEG:AT.P.41_8.jpg",,,,,,,,,,,
AT.P.0043,Aldo foundation,,Rack 7,,05/09/2013,IMG_3402.JPG,Aldo Tambellini,BS-2, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,26,,,,in,,IMG_3402.JPG,"remote:IMG_3402.JPG
size:320,240
JPEG:IMG_3402_8.jpg",,,,,,,,,,,
AT.P.0042,Aldo foundation,,Rack 7,,05/09/2013,AT.P.43.jpg,Aldo Tambellini,BS-4, Black Space Series,,ca. 1961-62,"Duco, acrylic, and sand on paper",,,Painting,26,,,,in,,AT.P.43.jpg,"remote:AT.P.43.jpg
size:1632,1224
JPEG:AT.P.43_8.jpg",,,,,,,,,,,
AT.P.0044,Aldo foundation,,Rack 7,,05/09/2013,AT.P.44.jpg,Aldo Tambellini,Untitled,,,ca. 1961-62,Duco on paper,,,Painting,32,28.5,,,in,,AT.P.44.jpg,"remote:AT.P.44.jpg
size:1224,1632
JPEG:AT.P.44_8.jpg",,,,,,,,,,,
AT.P.0047,Aldo foundation,,Rack 7,,05/16/2013,IMG_3401.JPG,Aldo Tambellini,BS-3, Black Space Series,,ca. 1961-62,Duco and sand on paper,,,Painting,25.5,,,,in,,IMG_3401.JPG,"remote:IMG_3401.JPG
size:320,240
JPEG:IMG_3401_8.jpg",,,,,,,,,,,
AT.P.0048,Aldo foundation,,Rack 8,,05/16/2013,AT.P.48.jpg,Aldo Tambellini,BS-5, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,in,,AT.P.48.jpg,"remote:AT.P.48.jpg
size:1632,1224
JPEG:AT.P.48_8.jpg",,,,,,,,,,,
AT.P.0050,Aldo foundation,,Rack 8,,05/16/2013,AT.P.50.jpg,Aldo Tambellini,BS-7, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,in,,AT.P.50.jpg,"remote:AT.P.50.jpg
size:1632,1224
JPEG:AT.P.50_8.jpg",,,,,,,,,,,
AT.P.0051,Aldo foundation,,Rack 8,,05/16/2013,AT.P.51.jpg,Aldo Tambellini,BS-8, Black Space Series,,ca. 1961-62,Duco  and sand on paper,,,Painting,26,,,,in,,AT.P.51.jpg,"remote:AT.P.51.jpg
size:1632,1224
JPEG:AT.P.51_8.jpg",,,,,,,,,,,
AT.P.0054,Aldo foundation,,Rack 8,,05/16/2013,No Picture Selected,Aldo Tambellini,A-1, Aleksey,,,Acrylic on canvas,,,Painting,,,,,in,,,"remote:AT.P.54.jpg
size:1632,1224
JPEG:AT.P.54_8.jpg",,,,,,,,,,,
AT.P.0055,Aldo foundation,,Rack 8,,05/16/2013,AT.P.55.jpg,Aldo Tambellini,A-2, Aleksey,,,Acrylic on canvas,,,Painting,30,30,,,in,,AT.P.55.jpg,"remote:AT.P.55.jpg
size:1632,1224
JPEG:AT.P.55_8.jpg",,,,,,,,,,,
AT.P.0056,Aldo foundation,,Rack 8,,05/16/2013,AT.P.56.jpg,Aldo Tambellini,Untitled,,,,"Collage, acrylic, and be-be shots on canvas","LR: ""Anna Aldo AD 2006""",,Painting,17.5,23.75,,,in,,AT.P.56.jpg,"remote:AT.P.56.jpg
size:1632,1224
JPEG:AT.P.56_8.jpg",,,,,,,,,,,
AT.P.0057,Aldo foundation,,Rack 8,,05/16/2013,No Picture Selected,Aldo Tambellini,EB-3, Eveloped by Black,,,Duco on paper on wood with sand,"LR: ""Aldo Tambellini Nov '63""",Torn upper Right corner,Painting,26,26,,,in,,,,,,,,,,,,,,
AT.P.0058,Aldo foundation,Pierre Menard Demonstration,Rack 8,,05/16/2013,No Picture Selected,Aldo Tambellini,A-3, Aleksey,,,Acrylic on canvas,,,Painting,30,30,,,in,,,,,,,,,,,,,,
AT.P.0059,Aldo foundation,,Rack 8,,05/16/2013,AT.P.59.jpg,Aldo Tambellini,Vortex Goldawsky,,,,Duco on paper,"LR: ""Aldo Tambellini Nov: 63""",No Frame,Painting,22.75,23.25,,,in,,AT.P.59.jpg,"remote:AT.P.59.jpg
size:1632,1224
JPEG:AT.P.59_8.jpg",,,,,,,,,,,
AT.P.0060,Aldo foundation,,Rack 8,,05/16/2013,AT.P.60.jpg,Aldo Tambellini,A-4, Aleksey,,,"Collage, acrylic, and be-be shots on canvas","LR: ""Aldo 2006 Anna AD""",,Painting,17.5,23.75,,,in,,AT.P.60.jpg,"remote:AT.P.60.jpg
size:1632,1224
JPEG:AT.P.60_8.jpg",,,,,,,,,,,
AT.P.0061,Aldo foundation,,Rack 8,,05/16/2013,AT.P.61.jpg,Aldo Tambellini,A-5, Aleksey,,,Collage and acrylic on canvas,"LR: ""AD, Anna, Aldo 2006""",,Painting,23.75,17.75,,,in,,AT.P.61.jpg,"remote:AT.P.61.jpg
size:1224,1632
JPEG:AT.P.61_8.jpg",,,,,,,,,,,
AT.P.0062,Aldo foundation,,Rack 8,,05/16/2013,No Picture Selected,Aldo Tambellini,Solvy, NY,,,Acrylic on canvas board,"Recto: LR: ""Tambellini A. 1946"" Verso: LC: ""Aldo Tambellini 1946""",,Painting,16,14,,,in,,,,,,,,,,,,,,
AT.P.0063,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-10,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0064,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-11,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0065,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-12,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0066,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-13,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0067,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-14,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0068,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-15,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0069,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-16,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0070,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-17,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0071,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-18,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2292""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0072,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-19,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2281""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0073,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-20,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2290""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0074,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-21,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2288""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0075,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-22,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0076,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-23,To Be Enveloped by Black,,,Duco on paper,,,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0077,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-24,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2130""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0078,Aldo foundation,,"Rack 15, Shelf 0, Box 1",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-25,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2123""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0079,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-26,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2126""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0080,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-27,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2276""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0081,Aldo foundation,,"Rack 15, Shelf 0",,05/16/2013,No Picture Selected,Aldo Tambellini,EB-28,To Be Enveloped by Black,,,Duco on paper,"Verso: UL: ""2277""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0088,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,10, Endless Series,,,Duco on paper,"Verso: UR: ""45"" / LL: ""AT""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0089,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,11, Endless Series,,,Duco on paper,"Verso: UL: ""44""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0090,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,12,Endless Series,,,Duco on paper,"Verso: UL: ""43"" / LR: ""AT""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0091,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,13, Endless Series,,,Duco on paper,"Verso: UL: ""42"" / LR: ""AT""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0092,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,14, Endless Series,,,Duco on paper,"Verso: UL: ""41"" / LR: ""Oct - 9""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0093,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,15, Endless Series,,,Duco on paper,"Verso: UL: ""40"" / LR: ""AT"" / LL: ""Oct 7 63""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0094,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,16, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""39""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0095,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,17, Endless Series,,,Duco on paper,"Verso: UR: ""38""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0096,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,18, Endless Series,,,Duco on paper,"Verso: UR: ""37"" / LR: ""Oct 9 '63""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0097,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,19, Endless Series,,,Duco on paper,"Verso: UR: ""36"" / LL: ""Oct 9/63""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0098,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,20, Endless Series,,,Duco on paper,"Verso: UR: ""35"" / LL: ""A.T.""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0099,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,21, Endless Series,,,Duco on paper,"Verso: LL: ""Oct 9/63"" UR: ""34""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0100,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,22, Endless Series,,,Duco on paper,"Verso: UR: ""33"" / LL: ""AT""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0101,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,23, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""32""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0102,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,24, Endless Series,,,Duco on paper,"Verso: UL: ""31""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0103,Aldo foundation,,"Box 2, circluar table",,05/16/2013,No Picture Selected,Aldo Tambellini,25, Endless Series,,,Duco on paper,"Verso: LR: ""Oct 7/63"" / UR: ""30""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0104,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,26, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""29""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0105,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,27, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""Oct 7/63"" / UR: ""28""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0106,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,28, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""27""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0107,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,29, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""26""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0108,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,30, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""25""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0109,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,31, Endless Series,,,Duco on paper,"Verso: UR: ""24""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0110,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,32, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""23""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0111,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,33, Endless Series,,,Duco on paper,"Verso: UR: ""22"" / LL: ""LL""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0112,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,34, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR:"" 21""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0113,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,35, Endless Series,,,Duco on paper,"Verso: UR: ""20"" / LL: ""AT""",Rip on right side,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0114,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,36, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""19""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0115,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,37, Endless Series,,,Duco on paper,"Verso: LL: ""Oct 9/63"" / UR: ""18""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0116,Aldo foundation,,"Box 2, circluar table",,05/16/2013,No Picture Selected,Aldo Tambellini,38, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""17""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0117,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,39, Endless Series,,,Duco on paper,"Verso: LL:"" AT"" / UR: ""16"" / LR: ""Oct 7/63""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0118,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,40, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""15"" /",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0119,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,41, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""14""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0120,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,42, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / UR: ""13""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0121,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,43, Endless Series,,,Duco on paper,"Verso: UR: ""12"" / LL: ""AT""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0122,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,44, Endless Series,,,Duco on paper,"Verso: LL: ""AT"" / LR: ""Oct 7/63"" / UR: ""11""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0123,Aldo foundation,,"Rack 15, Shelf 0, Box 2",,05/16/2013,No Picture Selected,Aldo Tambellini,45, Endless Series,,,Duco on paper,"Verso: UR: ""10""",,Painting,23,,,,in,,,,,,,,,,,,,,
AT.P.0126,Aldo foundation,,"Rack 9, Shelf 3",,05/23/2013,AT.P.126.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,31.75,40,,,in,,AT.P.126.jpg,"remote:AT.P.126.jpg
size:3264,2448
JPEG:AT.P.126_8.jpg",,,,,,,,,,,
AT.P.0127,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.127.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,in,,AT.P.127.jpg,"remote:AT.P.127.jpg
size:3264,2448
JPEG:AT.P.127_8.jpg",,,,,,,,,,,
AT.P.0129,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.129.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,in,,AT.P.129.jpg,"remote:AT.P.129.jpg
size:3264,2448
JPEG:AT.P.129_8.jpg",,,,,,,,,,,
AT.P.0130,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.130.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,in,,AT.P.130.jpg,"remote:AT.P.130.jpg
size:3264,2448
JPEG:AT.P.130_8.jpg",,,,,,,,,,,
AT.P.0131,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.131.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,in,,AT.P.131.jpg,"remote:AT.P.131.jpg
size:3264,2448
JPEG:AT.P.131_8.jpg",,,,,,,,,,,
AT.P.0133,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.133.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on cardboard,,,Painting,20,30,,,in,,AT.P.133.jpg,"remote:AT.P.133.jpg
size:3264,2448
JPEG:AT.P.133_8.jpg",,,,,,,,,,,
AT.P.0134,Aldo foundation,,"Rack 9, Shelf 4, Stack 1",,05/23/2013,AT.P.134.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,wax and graphite on paper,,,Painting,22,29.875,,,in,,AT.P.134.jpg,"remote:AT.P.134.jpg
size:3264,2448
JPEG:AT.P.134_8.jpg",,,,,,,,,,,
AT.P.0135,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,No Picture Selected,Aldo Tambellini,,Destruction Series II,,ca. 1989,Wax and graphite on paper,,,Painting,22.125,30,,,in,,,,,,,,,,,,,,
AT.P.0136,Aldo foundation,,"Rack 9, Shelf 4, Stack 2",,05/23/2013,AT.P.136.jpg,Aldo Tambellini,,Destruction Series II,,ca. 1989,Wax and graphite on paper,,,Painting,22.125,30,,,in,,AT.P.136.jpg,"remote:AT.P.136.jpg
size:3264,2448
JPEG:AT.P.136_8.jpg",,,,,,,,,,,
